Size,Instructions,L1D_Misses,L1D_MPKI,L1I_Misses,L1I_MPKI
250,570581802,2067164,3.622000,191262,.335000
275,757426068,2689973,3.551000,89325,.117000
300,982217403,3484382,3.547000,107633,.109000
325,1248029590,4432475,3.551000,162022,.129000
350,1557250407,5512724,3.540000,137335,.088000
375,1913898243,6761717,3.532000,134968,.070000
400,2321940996,8214927,3.537000,172873,.074000
425,2783817776,9864363,3.543000,236132,.084000
450,3302624530,11651754,3.528000,192174,.058000
475,3882912473,13712442,3.531000,270008,.069000
500,4527322714,15978772,3.529000,289822,.064000
525,5239751345,18486024,3.528000,306268,.058000
550,6022640454,21248073,3.528000,281684,.046000
552,6088469025,21471997,3.526000,335115,.055000
560,6356579176,22403810,3.524000,330200,.051000
568,6632225036,23381437,3.525000,331285,.049000
575,6880268226,24276594,3.528000,386146,.056000
576,6916175457,24403931,3.528000,438899,.063000
600,7816177311,27601295,3.531000,400316,.051000
625,8833278856,31165965,3.528000,450898,.051000
650,9933661525,35070952,3.530000,514338,.051000
675,11122361333,39225158,3.526000,517531,.046000
700,12402782695,43745744,3.527000,521580,.042000
725,13777660194,48591293,3.526000,535503,.038000
750,15250664406,53921662,3.535000,591260,.038000
